spec,env,r,p
MC,POHA,-0.003307625,0.745653460
MC,AWS,-0.025780070,0.011450472
MC,FOCW,-0.004079408,0.689109008
MC,BKE,-0.017266404,0.090375047
MC,FOTCW,0.005158586,0.612926876
MC,CIV,0.008013068,0.431958268
MC,FS,-0.018419171,0.070840237
MC,FA,0.027325046,0.007357019
MC,NOCR,-0.008229543,0.419622955
MC,BWOO,-0.000819650,0.935933350
MC,BWOC,-0.004783425,0.638992683
MC,TOMI,0.008405674,0.409741084
MC,TFP,-0.144039976,0.000000000
MC,TFT,-0.002563482,0.801506260
MC,SPOF,-0.004184293,0.681548775
MC,PDOIF,-0.041433252,0.000048021
MC,PDOUF,-0.017469253,0.086653628
MC,PDOCF,-0.026560123,0.009182590
MC,OER,0.012347046,0.225931112
MC,TCT,0.028679682,0.004905690
MC,UROCG,0.053583101,0.000000145
MC,BGV,0.032247816,0.001559759
MC,TLOF,0.008482626,0.405467445
MC,API,-0.076437211,0.000000000
MC,TOCW,0.009415249,0.355817994
MC,SWS,-0.003614434,0.722990753
MC,FOCG,-0.005964024,0.558621561
MC,TOCA,-0.001548539,0.879294541
MC,AH,-0.004853429,0.634093588
Hanging,C_C,-0.004765630,0.640240516
Hanging,C_SI,-0.044202417,0.000014444
Hanging,C_MN,0.015643509,0.124971879
Hanging,C_P,-0.000500372,0.960862763
Hanging,C_S1,-0.061496685,0.000000002
Hanging,C_CU,0.006985840,0.493279736
Hanging,C_MO,0.006816280,0.503832002
Hanging,C_CAO,-0.003029894,0.766360427
Hanging,C_SIO2,0.009438165,0.354648359
Hanging,C_MGO,-0.000424246,0.966813301
Hanging,C_AL2O3,-0.012977540,0.203108180
Hanging,C_FEO,-0.067764095,0.000000000
Hanging,C_S2,0.000272782,0.978657995
Hanging,BA,-0.015078031,0.139201988
Hanging,CCO,-0.023687193,0.020162943
Hanging,CCO2,0.025903868,0.011060267
Hanging,CH2,0.009337611,0.359798674
Hanging,CN2,0.011411367,0.263082088
Hanging,C_SO2,-0.006856578,0.501313426
Hanging,PE,-0.000393017,0.969254959
Hanging,FOCA,-0.846057646,0.000000000
Hanging,POCA,0.683396288,0.000000000
Hanging,OEF,-0.012250549,0.229579656
Hanging,OEP,0.017214629,0.091345207
Hanging,TOHA,-0.000914942,0.928503861
Hanging,POHA,-0.002300819,0.821482249
Hanging,AWS,-0.037013657,0.000282182
Hanging,FOCW,-0.001890355,0.852927009
Hanging,BKE,0.002288246,0.822441460
Hanging,FOTCW,0.007399242,0.468056355
Hanging,CIV,0.002690612,0.791883371
Hanging,FS,-0.010963015,0.282301945
Hanging,FA,-0.004414049,0.665099899
Hanging,NOCR,-0.003549669,0.727755241
Hanging,BWOO,-0.002269467,0.823874643
Hanging,BWOC,-0.004230440,0.678232470
Hanging,TOMI,0.027478304,0.007033062
Hanging,TFP,-0.365164911,0.000000000
Hanging,TFT,-0.355618666,0.000000000
Hanging,SPOF,-0.001895572,0.852525717
Hanging,PDOIF,0.798877146,0.000000000
Hanging,PDOUF,-0.034576099,0.000694218
Hanging,PDOCF,0.001600807,0.875253188
Hanging,OER,0.018912631,0.063609657
Hanging,TCT,0.051236690,0.000000496
Hanging,UROCG,0.081063067,0.000000000
Hanging,BGV,0.013609717,0.181957796
Hanging,TLOF,0.013188340,0.195865276
Hanging,API,-0.712788928,0.000000000
Hanging,TOCW,0.005122758,0.615395845
Hanging,SWS,-0.517723406,0.000000000
Hanging,FOCG,-0.010357845,0.309720236
Hanging,TOCA,-0.002059175,0.839962736
Hanging,AH,-0.009273354,0.363114379
IFC,C_C,-0.003198747,0.753750229
IFC,C_SI,-0.071642544,0.000000000
IFC,C_MN,-0.008775410,0.389452320
IFC,C_P,-0.010573011,0.299776856
IFC,C_S1,-0.100954525,0.000000000
IFC,C_CU,0.032118876,0.001628941
IFC,C_MO,0.007760901,0.446588902
IFC,C_CAO,-0.000815090,0.936288959
IFC,C_SIO2,-0.006657055,0.513848495
IFC,C_MGO,0.015319061,0.132991029
IFC,C_AL2O3,-0.002586886,0.799732446
IFC,C_FEO,-0.101810200,0.000000000
IFC,C_S2,-0.002624040,0.796918595
IFC,BA,0.004260369,0.676085037
IFC,CCO,-0.034407898,0.000737239
IFC,CCO2,0.049230173,0.000001359
IFC,CH2,0.016658743,0.102297234
IFC,CN2,0.006376005,0.531778208
IFC,C_SO2,0.019282349,0.058601172
IFC,PE,-0.000233554,0.981726577
IFC,FOCA,0.056201983,0.000000035
IFC,POCA,-0.036353943,0.000361963
IFC,OEF,-0.005719722,0.574844436
IFC,OEP,-0.004122499,0.685999141
IFC,TOHA,-0.000009252,0.999276040
IFC,POHA,0.005155873,0.613113661
IFC,AWS,-0.063507582,0.000000000
IFC,FOCW,-0.025729314,0.011613953
IFC,BKE,0.003574394,0.725935131
IFC,FOTCW,0.005250689,0.606600120
IFC,CIV,-0.008883946,0.383614608
IFC,FS,0.000261129,0.979569529
IFC,FA,0.029837696,0.003424688
IFC,NOCR,0.000920811,0.928046508
IFC,BWOO,-0.004724229,0.643147698
