Var1,Var2,R value,P value
C_TI,BGV,-0.141700000,0.164574459
C_TI,TLOF,0.301300000,0.767602139
C_TI,API,0.249000000,0.980516252
C_TI,TOCW,0.134360000,0.187554002
C_TI,SWS,0.254200000,0.803115314
C_TI,FOCG,0.000000000,1.000000000
C_TI,ABT,0.872800000,0.391969985
C_TI,VST,0.000000000,1.000000000
C_CR,C_C,0.175370000,0.085406167
C_CR,C_SI,-0.425400000,0.676510063
C_CR,C_MN,0.889700000,0.382866651
C_CR,C_P,0.229890000,0.024130990
C_CR,C_S1,-0.129940000,0.202488761
C_CR,C_V,-0.119580000,0.240847457
C_CR,C_TI,0.140930000,0.166880622
C_CR,C_CR,1.000000000,0.000000000
C_CR,C_NI,-0.134960000,0.185591025
C_CR,C_CAO,-0.935800000,0.358700625
C_CR,C_SIO2,0.732700000,0.472365939
C_CR,C_MGO,0.283700000,0.780819823
C_CR,C_AL2O3,0.413700000,0.684922799
C_CR,C_FEO,-0.132910000,0.192361054
C_CR,C_S2,0.382000000,0.707910862
C_CR,C_TIO2,0.550100000,0.589516419
C_CR,C_V2O5,0.730200000,0.473878502
C_CR,BA,-0.139610000,0.170890413
C_CR,CCO,-0.760200000,0.455904425
C_CR,CCO2,0.141400000,0.889699984
C_CR,CH2,0.640400000,0.529935371
C_CR,CN2,0.121620000,0.232915779
C_CR,C_CH4,0.643300000,0.528073835
C_CR,FOCA,-0.458900000,0.652647617
C_CR,POCA,0.882800000,0.386567642
C_CR,OEF,0.134230000,0.187981327
C_CR,OEP,0.000000000,1.000000000
C_CR,TOHA,0.000000000,1.000000000
C_CR,POHA,0.870500000,0.393218971
C_CR,AWS,0.128110000,0.208919432
C_CR,FOCW,0.152500000,0.881103375
C_CR,BKE,-0.155300000,0.878937031
C_CR,FOTCW,0.000000000,1.000000000
C_CR,CIV,0.918900000,0.367446155
C_CR,FS,-0.557700000,0.584384837
C_CR,FA,0.622700000,0.541368963
C_CR,NOCR,0.000000000,1.000000000
C_CR,BWOO,0.000000000,1.000000000
C_CR,BWOC,-0.740600000,0.467603763
C_CR,TOMI,0.114200000,0.910818402
C_CR,TFP,0.216940000,0.033338964
C_CR,TFT,0.538100000,0.597660934
C_CR,SPOF,0.362600000,0.722113327
C_CR,PDOIF,-0.356300000,0.726746425
C_CR,PDOUF,0.649500000,0.524105207
C_CR,PDOCF,0.373700000,0.713975085
C_CR,OER,-0.537700000,0.597933296
C_CR,TCT,0.890500000,0.382438959
C_CR,UROCG,-0.281600000,0.782401253
C_CR,BGV,-0.482800000,0.635836236
C_CR,TLOF,-0.105630000,0.300184460
C_CR,API,-0.487500000,0.632551839
C_CR,TOCW,-0.133910000,0.189036262
C_CR,SWS,-0.613200000,0.547556028
C_CR,FOCG,0.000000000,1.000000000
C_CR,ABT,0.252000000,0.980281556
C_CR,VST,0.000000000,1.000000000
C_NI,C_C,0.131670000,0.196543237
C_NI,C_SI,0.106580000,0.295858372
C_NI,C_MN,-0.127000000,0.990061775
C_NI,C_P,0.219100000,0.031620931
C_NI,C_S1,0.745700000,0.464543633
