Var1,Var2,R value,P value
C_AL2O3,CH2,-0.100521820,0.324216113
C_AL2O3,CN2,0.428866100,0.674057384
C_AL2O3,C_SO2,-0.107062880,0.293725725
C_AL2O3,PE,0.309604700,0.761412418
C_AL2O3,FOCA,0.110195800,0.913941939
C_AL2O3,POCA,-0.318853200,0.754511266
C_AL2O3,OEF,-0.562003600,0.581527533
C_AL2O3,OEP,0.180769650,0.076239956
C_AL2O3,TOHA,-0.109641150,0.282253659
C_AL2O3,POHA,0.656252700,0.519843679
C_AL2O3,AWS,-0.142025200,0.163651517
C_AL2O3,FOCW,-0.172071700,0.865994174
C_AL2O3,BKE,-0.337826800,0.740415027
C_AL2O3,FOTCW,0.112281520,0.270824091
C_AL2O3,CIV,0.188926220,0.063890513
C_AL2O3,FS,0.141419970,0.165454317
C_AL2O3,FA,0.579277500,0.569970074
C_AL2O3,NOCR,0.250462100,0.805972014
C_AL2O3,BWOO,0.101677690,0.318683327
C_AL2O3,BWOC,0.466274500,0.647475162
C_AL2O3,TOMI,0.549024600,0.590282862
C_AL2O3,TFP,0.543603300,0.593957794
C_AL2O3,TFT,-0.241758600,0.812586792
C_AL2O3,SPOF,-0.230652300,0.821047115
C_AL2O3,PDOIF,-0.883449800,0.386267558
C_AL2O3,PDOUF,-0.166161550,0.103177659
C_AL2O3,PDOCF,0.166660900,0.870169979
C_AL2O3,OER,0.106500140,0.296270641
C_AL2O3,TCT,0.780414800,0.444059906
C_AL2O3,UROCG,0.767297400,0.451755918
C_AL2O3,BGV,0.453634700,0.656408914
C_AL2O3,TLOF,0.109022400,0.284978697
C_AL2O3,API,0.968265000,0.924349245
C_AL2O3,TOCW,-0.712692000,0.944278941
C_AL2O3,SWS,0.793503300,0.436455905
C_AL2O3,FOCG,0.318912210,0.001758020
C_AL2O3,TOCA,0.622924700,0.541265113
C_AL2O3,AH,0.121445700,0.905195812
C_FEO,C_C,0.826387000,0.935407921
C_FEO,C_SI,0.847420260,0.000000000
C_FEO,C_MN,0.156783900,0.877801901
C_FEO,C_P,-0.627431900,0.538342558
C_FEO,C_S1,0.909164261,0.000000000
C_FEO,C_CU,-0.139874430,0.170125845
C_FEO,C_MO,0.128840500,0.899452927
C_FEO,C_CAO,0.600300500,0.556053738
C_FEO,C_SIO2,0.915369700,0.369339460
C_FEO,C_MGO,-0.188157970,0.064978353
C_FEO,C_AL2O3,-0.538232900,0.597608563
C_FEO,C_FEO,1.000000000,0.000000000
C_FEO,C_S2,-0.794507000,0.937894567
C_FEO,BA,-0.150406650,0.140184535
C_FEO,CCO,-0.555066780,0.000000051
C_FEO,CCO2,0.562710630,0.000000033
C_FEO,CH2,0.110302200,0.279361874
C_FEO,CN2,-0.513110500,0.614820232
C_FEO,C_SO2,-0.194737600,0.848543532
C_FEO,PE,0.832197500,0.414419699
C_FEO,FOCA,0.784100060,0.000000000
C_FEO,POCA,-0.366943002,0.000000000
